<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20230323,164500,76008.0000000,76044.0000000,75972.0000000,76020.0000000,5256
SPFB.Si,5,20230323,165000,76020.0000000,76034.0000000,75956.0000000,76010.0000000,3594
SPFB.Si,5,20230323,165500,76011.0000000,76022.0000000,75927.0000000,75933.0000000,1919
SPFB.Si,5,20230323,170000,75930.0000000,75979.0000000,75910.0000000,75939.0000000,3406
SPFB.Si,5,20230323,170500,75934.0000000,76040.0000000,75922.0000000,76040.0000000,4027
SPFB.Si,5,20230323,171000,76038.0000000,76050.0000000,76006.0000000,76038.0000000,6990
SPFB.Si,5,20230323,171500,76040.0000000,76044.0000000,75963.0000000,75977.0000000,9534
SPFB.Si,5,20230323,172000,75977.0000000,75980.0000000,75935.0000000,75938.0000000,8774
SPFB.Si,5,20230323,172500,75938.0000000,75952.0000000,75906.0000000,75947.0000000,6211
SPFB.Si,5,20230323,173000,75942.0000000,76016.0000000,75917.0000000,76006.0000000,9896
SPFB.Si,5,20230323,173500,76004.0000000,76008.0000000,75936.0000000,75970.0000000,2943
SPFB.Si,5,20230323,174000,75972.0000000,75982.0000000,75935.0000000,75981.0000000,2667
SPFB.Si,5,20230323,174500,75982.0000000,76034.0000000,75982.0000000,76007.0000000,3593
SPFB.Si,5,20230323,175000,76006.0000000,76022.0000000,75978.0000000,76004.0000000,2010
SPFB.Si,5,20230323,175500,76002.0000000,76011.0000000,75964.0000000,75981.0000000,5433
SPFB.Si,5,20230323,180000,75980.0000000,76000.0000000,75965.0000000,76000.0000000,4117
SPFB.Si,5,20230323,180500,76000.0000000,76044.0000000,75969.0000000,76039.0000000,10194
SPFB.Si,5,20230323,181000,76039.0000000,76088.0000000,75970.0000000,75984.0000000,9057
SPFB.Si,5,20230323,181500,75985.0000000,76009.0000000,75974.0000000,75984.0000000,1986
SPFB.Si,5,20230323,182000,75983.0000000,75988.0000000,75954.0000000,75963.0000000,2722
SPFB.Si,5,20230323,182500,75964.0000000,75980.0000000,75942.0000000,75956.0000000,3533
SPFB.Si,5,20230323,183000,75960.0000000,75970.0000000,75940.0000000,75944.0000000,2194
SPFB.Si,5,20230323,183500,75944.0000000,75994.0000000,75926.0000000,75970.0000000,7048
SPFB.Si,5,20230323,184000,75967.0000000,75994.0000000,75961.0000000,75973.0000000,3135
SPFB.Si,5,20230323,184500,75975.0000000,75994.0000000,75972.0000000,75980.0000000,2561
SPFB.Si,5,20230323,185000,75981.0000000,75994.0000000,75974.0000000,75985.0000000,1814
SPFB.Si,5,20230323,191000,75973.0000000,76068.0000000,75922.0000000,75953.0000000,3739
SPFB.Si,5,20230323,191500,75953.0000000,76000.0000000,75944.0000000,75977.0000000,2245
SPFB.Si,5,20230323,192000,75977.0000000,75992.0000000,75970.0000000,75987.0000000,837
SPFB.Si,5,20230323,192500,75987.0000000,75988.0000000,75970.0000000,75986.0000000,997
SPFB.Si,5,20230323,193000,75982.0000000,76003.0000000,75956.0000000,75968.0000000,2398
SPFB.Si,5,20230323,193500,75967.0000000,75973.0000000,75934.0000000,75945.0000000,668
SPFB.Si,5,20230323,194000,75946.0000000,75965.0000000,75940.0000000,75954.0000000,378
SPFB.Si,5,20230323,194500,75960.0000000,75965.0000000,75953.0000000,75964.0000000,169
SPFB.Si,5,20230323,195000,75962.0000000,75980.0000000,75961.0000000,75978.0000000,606
SPFB.Si,5,20230323,195500,75978.0000000,75980.0000000,75975.0000000,75977.0000000,282
SPFB.Si,5,20230323,200000,75977.0000000,75979.0000000,75977.0000000,75979.0000000,403
SPFB.Si,5,20230323,200500,75979.0000000,76000.0000000,75977.0000000,76000.0000000,1338
SPFB.Si,5,20230323,201000,75999.0000000,76006.0000000,75999.0000000,75999.0000000,514
SPFB.Si,5,20230323,201500,76003.0000000,76020.0000000,75999.0000000,76017.0000000,745
SPFB.Si,5,20230323,202000,76015.0000000,76020.0000000,75996.0000000,76002.0000000,1285
SPFB.Si,5,20230323,202500,76000.0000000,76007.0000000,75999.0000000,76007.0000000,311
SPFB.Si,5,20230323,203000,76007.0000000,76050.0000000,76006.0000000,76043.0000000,1918
SPFB.Si,5,20230323,203500,76043.0000000,76055.0000000,76030.0000000,76037.0000000,660
SPFB.Si,5,20230323,204000,76035.0000000,76040.0000000,76000.0000000,76000.0000000,628
SPFB.Si,5,20230323,204500,76000.0000000,76047.0000000,75987.0000000,76030.0000000,971
