<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,15,20220511,101500,70450.0000000,71443.0000000,69859.0000000,71245.0000000,166013
SPFB.Si,15,20220511,103000,71245.0000000,71440.0000000,70860.0000000,70918.0000000,114800
SPFB.Si,15,20220511,104500,70926.0000000,70997.0000000,70821.0000000,70877.0000000,53818
SPFB.Si,15,20220511,110000,70877.0000000,71155.0000000,70870.0000000,70990.0000000,52993
SPFB.Si,15,20220511,111500,70989.0000000,71030.0000000,70320.0000000,70439.0000000,93787
SPFB.Si,15,20220511,113000,70433.0000000,70540.0000000,70253.0000000,70421.0000000,60105
SPFB.Si,15,20220511,114500,70422.0000000,70590.0000000,70200.0000000,70245.0000000,68840
SPFB.Si,15,20220511,120000,70248.0000000,70465.0000000,69620.0000000,70048.0000000,124139
SPFB.Si,15,20220511,121500,70050.0000000,70350.0000000,69828.0000000,70075.0000000,70058
SPFB.Si,15,20220511,123000,70079.0000000,70191.0000000,69055.0000000,69088.0000000,111196
SPFB.Si,15,20220511,124500,69093.0000000,69476.0000000,69017.0000000,69470.0000000,74654
SPFB.Si,15,20220511,130000,69463.0000000,69465.0000000,68844.0000000,69067.0000000,78159
SPFB.Si,15,20220511,131500,69068.0000000,69068.0000000,68565.0000000,68757.0000000,69553
SPFB.Si,15,20220511,133000,68757.0000000,68829.0000000,68620.0000000,68750.0000000,50172
SPFB.Si,15,20220511,134500,68750.0000000,69050.0000000,68601.0000000,69005.0000000,101141
SPFB.Si,15,20220511,140000,69003.0000000,69242.0000000,68910.0000000,69152.0000000,89017
SPFB.Si,15,20220511,141500,69166.0000000,69270.0000000,69054.0000000,69140.0000000,46575
SPFB.Si,15,20220511,143000,69146.0000000,69198.0000000,69027.0000000,69147.0000000,73073
SPFB.Si,15,20220511,144500,69145.0000000,69367.0000000,68950.0000000,69308.0000000,95870
SPFB.Si,15,20220511,150000,69308.0000000,69385.0000000,68837.0000000,69084.0000000,65728
SPFB.Si,15,20220511,151500,69080.0000000,69330.0000000,69052.0000000,69220.0000000,34129
SPFB.Si,15,20220511,153000,69224.0000000,69229.0000000,68890.0000000,69162.0000000,43505
SPFB.Si,15,20220511,154500,69162.0000000,69269.0000000,69075.0000000,69159.0000000,25715
SPFB.Si,15,20220511,160000,69150.0000000,69263.0000000,69008.0000000,69031.0000000,23816
SPFB.Si,15,20220511,161500,69036.0000000,69036.0000000,68051.0000000,68234.0000000,139815
SPFB.Si,15,20220511,163000,68214.0000000,68289.0000000,67654.0000000,67856.0000000,107799
SPFB.Si,15,20220511,164500,67862.0000000,68283.0000000,67851.0000000,68098.0000000,67204
SPFB.Si,15,20220511,170000,68085.0000000,68179.0000000,67551.0000000,67727.0000000,80012
SPFB.Si,15,20220511,171500,67726.0000000,68000.0000000,67650.0000000,67900.0000000,73570
SPFB.Si,15,20220511,173000,67900.0000000,68500.0000000,67878.0000000,68283.0000000,92753
SPFB.Si,15,20220511,174500,68285.0000000,68445.0000000,68032.0000000,68139.0000000,53492
SPFB.Si,15,20220511,180000,68139.0000000,68488.0000000,68100.0000000,68481.0000000,44916
SPFB.Si,15,20220511,181500,68478.0000000,68590.0000000,68259.0000000,68481.0000000,45864
SPFB.Si,15,20220511,183000,68481.0000000,68531.0000000,67856.0000000,68225.0000000,73464
SPFB.Si,15,20220511,184500,68220.0000000,68250.0000000,67926.0000000,68020.0000000,57331
SPFB.Si,15,20220512,101500,67792.0000000,68484.0000000,67261.0000000,68432.0000000,162974
SPFB.Si,15,20220512,103000,68431.0000000,68445.0000000,68001.0000000,68081.0000000,88135
SPFB.Si,15,20220512,104500,68081.0000000,68214.0000000,67710.0000000,67731.0000000,67567
SPFB.Si,15,20220512,110000,67725.0000000,67831.0000000,66540.0000000,66613.0000000,166566
SPFB.Si,15,20220512,111500,66613.0000000,67270.0000000,66571.0000000,66843.0000000,187111
SPFB.Si,15,20220512,113000,66841.0000000,67139.0000000,66332.0000000,66585.0000000,132334
SPFB.Si,15,20220512,114500,66578.0000000,66742.0000000,66462.0000000,66487.0000000,66081
SPFB.Si,15,20220512,120000,66487.0000000,66637.0000000,66100.0000000,66250.0000000,105538
SPFB.Si,15,20220512,121500,66252.0000000,66699.0000000,66235.0000000,66621.0000000,77750
SPFB.Si,15,20220512,123000,66623.0000000,67026.0000000,66564.0000000,66747.0000000,221990
SPFB.Si,15,20220512,124500,66755.0000000,66888.0000000,66612.0000000,66705.0000000,40698
SPFB.Si,15,20220512,130000,66710.0000000,66757.0000000,66339.0000000,66677.0000000,65936
SPFB.Si,15,20220512,131500,66674.0000000,66853.0000000,66515.0000000,66661.0000000,45639
SPFB.Si,15,20220512,133000,66665.0000000,66746.0000000,66390.0000000,66390.0000000,29571
SPFB.Si,15,20220512,134500,66391.0000000,66739.0000000,66356.0000000,66632.0000000,41044
SPFB.Si,15,20220512,140000,66625.0000000,66637.0000000,66522.0000000,66580.0000000,23324
SPFB.Si,15,20220512,141500,66577.0000000,66606.0000000,66404.0000000,66424.0000000,17266
SPFB.Si,15,20220512,143000,66421.0000000,66488.0000000,66270.0000000,66305.0000000,43602
SPFB.Si,15,20220512,144500,66305.0000000,66448.0000000,66120.0000000,66251.0000000,64129
SPFB.Si,15,20220512,150000,66253.0000000,66400.0000000,66045.0000000,66308.0000000,82562
SPFB.Si,15,20220512,151500,66308.0000000,66360.0000000,66111.0000000,66141.0000000,40890
SPFB.Si,15,20220512,153000,66138.0000000,66196.0000000,65930.0000000,66100.0000000,77056
SPFB.Si,15,20220512,154500,66100.0000000,66192.0000000,66070.0000000,66123.0000000,28095
SPFB.Si,15,20220512,160000,66122.0000000,66127.0000000,65829.0000000,65974.0000000,71266
