<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,60,20220511,110000,70450.0000000,71443.0000000,69859.0000000,70990.0000000,387624
SPFB.Si,60,20220511,120000,70989.0000000,71030.0000000,69620.0000000,70048.0000000,346871
SPFB.Si,60,20220511,130000,70050.0000000,70350.0000000,68844.0000000,69067.0000000,334067
SPFB.Si,60,20220511,140000,69068.0000000,69242.0000000,68565.0000000,69152.0000000,309883
SPFB.Si,60,20220511,150000,69166.0000000,69385.0000000,68837.0000000,69084.0000000,281246
SPFB.Si,60,20220511,160000,69080.0000000,69330.0000000,68890.0000000,69031.0000000,127165
SPFB.Si,60,20220511,170000,69036.0000000,69036.0000000,67551.0000000,67727.0000000,394830
SPFB.Si,60,20220511,180000,67726.0000000,68500.0000000,67650.0000000,68481.0000000,264731
SPFB.Si,60,20220511,190000,68478.0000000,68590.0000000,67856.0000000,68020.0000000,176659
SPFB.Si,60,20220512,110000,67792.0000000,68484.0000000,66540.0000000,66613.0000000,485242
SPFB.Si,60,20220512,120000,66613.0000000,67270.0000000,66100.0000000,66250.0000000,491064
SPFB.Si,60,20220512,130000,66252.0000000,67026.0000000,66235.0000000,66677.0000000,406374
SPFB.Si,60,20220512,140000,66674.0000000,66853.0000000,66356.0000000,66580.0000000,139578
SPFB.Si,60,20220512,150000,66577.0000000,66606.0000000,66045.0000000,66308.0000000,207559
SPFB.Si,60,20220512,160000,66308.0000000,66360.0000000,65829.0000000,65974.0000000,217307
SPFB.Si,60,20220512,170000,65974.0000000,66030.0000000,65381.0000000,65407.0000000,230150
SPFB.Si,60,20220512,180000,65407.0000000,65417.0000000,64450.0000000,64875.0000000,357273
SPFB.Si,60,20220512,190000,64879.0000000,65279.0000000,64163.0000000,64237.0000000,259868
SPFB.Si,60,20220513,110000,64458.0000000,64824.0000000,63613.0000000,63914.0000000,529839
SPFB.Si,60,20220513,120000,63914.0000000,64280.0000000,63812.0000000,64153.0000000,208800
SPFB.Si,60,20220513,130000,64153.0000000,64230.0000000,63818.0000000,64125.0000000,181307
SPFB.Si,60,20220513,140000,64126.0000000,66250.0000000,64064.0000000,65619.0000000,643007
