<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20230504,131500,77078.0000000,77097.0000000,77052.0000000,77057.0000000,6566
SPFB.Si,5,20230504,132000,77055.0000000,77084.0000000,77020.0000000,77084.0000000,31993
SPFB.Si,5,20230504,132500,77084.0000000,77100.0000000,77058.0000000,77078.0000000,13662
SPFB.Si,5,20230504,133000,77078.0000000,77100.0000000,77060.0000000,77087.0000000,4763
SPFB.Si,5,20230504,133500,77084.0000000,77100.0000000,77050.0000000,77097.0000000,3989
SPFB.Si,5,20230504,134000,77097.0000000,77160.0000000,76988.0000000,76999.0000000,28163
SPFB.Si,5,20230504,134500,76997.0000000,77015.0000000,76980.0000000,76989.0000000,9629
SPFB.Si,5,20230504,135000,76989.0000000,76999.0000000,76908.0000000,76994.0000000,11559
SPFB.Si,5,20230504,135500,76993.0000000,77039.0000000,76911.0000000,76968.0000000,19893
SPFB.Si,5,20230504,140000,76967.0000000,76970.0000000,76938.0000000,76960.0000000,7075
SPFB.Si,5,20230504,141000,76954.0000000,76965.0000000,76922.0000000,76933.0000000,5303
SPFB.Si,5,20230504,141500,76931.0000000,76938.0000000,76865.0000000,76895.0000000,10567
SPFB.Si,5,20230504,142000,76890.0000000,76967.0000000,76868.0000000,76930.0000000,18741
SPFB.Si,5,20230504,142500,76929.0000000,76930.0000000,76883.0000000,76930.0000000,9285
SPFB.Si,5,20230504,143000,76930.0000000,76930.0000000,76869.0000000,76882.0000000,8352
SPFB.Si,5,20230504,143500,76881.0000000,77098.0000000,76870.0000000,77083.0000000,16312
SPFB.Si,5,20230504,144000,77083.0000000,77140.0000000,77059.0000000,77064.0000000,15067
SPFB.Si,5,20230504,144500,77064.0000000,77136.0000000,77000.0000000,77113.0000000,7818
SPFB.Si,5,20230504,145000,77112.0000000,77128.0000000,77045.0000000,77045.0000000,3290
SPFB.Si,5,20230504,145500,77044.0000000,77047.0000000,76976.0000000,77000.0000000,5291
SPFB.Si,5,20230504,150000,77000.0000000,77042.0000000,76995.0000000,77022.0000000,2190
SPFB.Si,5,20230504,150500,77021.0000000,77057.0000000,77000.0000000,77040.0000000,4595
SPFB.Si,5,20230504,151000,77039.0000000,77080.0000000,77016.0000000,77066.0000000,6017
SPFB.Si,5,20230504,151500,77068.0000000,77077.0000000,76888.0000000,76977.0000000,15260
SPFB.Si,5,20230504,152000,76975.0000000,77062.0000000,76970.0000000,77057.0000000,4055
SPFB.Si,5,20230504,152500,77053.0000000,77069.0000000,76975.0000000,77000.0000000,7290
SPFB.Si,5,20230504,153000,77000.0000000,77000.0000000,76954.0000000,76956.0000000,5109
SPFB.Si,5,20230504,153500,76956.0000000,76960.0000000,76908.0000000,76928.0000000,9368
SPFB.Si,5,20230504,154000,76928.0000000,76950.0000000,76867.0000000,76899.0000000,5126
SPFB.Si,5,20230504,154500,76898.0000000,76930.0000000,76850.0000000,76875.0000000,10384
SPFB.Si,5,20230504,155000,76874.0000000,76912.0000000,76850.0000000,76893.0000000,6418
SPFB.Si,5,20230504,155500,76892.0000000,76903.0000000,76810.0000000,76817.0000000,10290
SPFB.Si,5,20230504,160000,76818.0000000,76864.0000000,76782.0000000,76783.0000000,11887
SPFB.Si,5,20230504,160500,76783.0000000,76787.0000000,76581.0000000,76657.0000000,42033
SPFB.Si,5,20230504,161000,76655.0000000,76778.0000000,76626.0000000,76754.0000000,35869
SPFB.Si,5,20230504,161500,76754.0000000,76875.0000000,76721.0000000,76743.0000000,18980
SPFB.Si,5,20230504,162000,76742.0000000,76819.0000000,76406.0000000,76603.0000000,35709
SPFB.Si,5,20230504,162500,76603.0000000,76815.0000000,76600.0000000,76726.0000000,21385
SPFB.Si,5,20230504,163000,76724.0000000,76837.0000000,76675.0000000,76785.0000000,9235
SPFB.Si,5,20230504,163500,76776.0000000,76776.0000000,76630.0000000,76687.0000000,8602
SPFB.Si,5,20230504,164000,76690.0000000,76762.0000000,76685.0000000,76727.0000000,4123
SPFB.Si,5,20230504,164500,76728.0000000,76840.0000000,76714.0000000,76816.0000000,8040
SPFB.Si,5,20230504,165000,76816.0000000,76840.0000000,76687.0000000,76725.0000000,8949
SPFB.Si,5,20230504,165500,76724.0000000,76732.0000000,76651.0000000,76720.0000000,6221
SPFB.Si,5,20230504,170000,76718.0000000,76751.0000000,76679.0000000,76723.0000000,7889
SPFB.Si,5,20230504,170500,76724.0000000,76731.0000000,76658.0000000,76698.0000000,2632
SPFB.Si,5,20230504,171000,76700.0000000,76702.0000000,76653.0000000,76668.0000000,1967
SPFB.Si,5,20230504,171500,76668.0000000,76728.0000000,76610.0000000,76723.0000000,5150
SPFB.Si,5,20230504,172000,76720.0000000,76724.0000000,76699.0000000,76706.0000000,4065
SPFB.Si,5,20230504,172500,76703.0000000,76738.0000000,76625.0000000,76648.0000000,5757
SPFB.Si,5,20230504,173000,76646.0000000,76672.0000000,76610.0000000,76640.0000000,4870
SPFB.Si,5,20230504,173500,76639.0000000,76745.0000000,76552.0000000,76739.0000000,13209
SPFB.Si,5,20230504,174000,76735.0000000,76873.0000000,76679.0000000,76835.0000000,14889
SPFB.Si,5,20230504,174500,76833.0000000,76920.0000000,76728.0000000,76775.0000000,9386
SPFB.Si,5,20230504,175000,76772.0000000,76793.0000000,76704.0000000,76710.0000000,3938
SPFB.Si,5,20230504,175500,76704.0000000,76886.0000000,76666.0000000,76846.0000000,10191
SPFB.Si,5,20230504,180000,76846.0000000,76857.0000000,76687.0000000,76841.0000000,7338
SPFB.Si,5,20230504,180500,76840.0000000,76917.0000000,76828.0000000,76848.0000000,8314
SPFB.Si,5,20230504,181000,76846.0000000,76939.0000000,76841.0000000,76937.0000000,7350
SPFB.Si,5,20230504,181500,76937.0000000,76945.0000000,76858.0000000,76904.0000000,7329
SPFB.Si,5,20230504,182000,76903.0000000,76907.0000000,76771.0000000,76794.0000000,3559
SPFB.Si,5,20230504,182500,76794.0000000,76844.0000000,76791.0000000,76825.0000000,2745
SPFB.Si,5,20230504,183000,76824.0000000,76824.0000000,76769.0000000,76789.0000000,2362
SPFB.Si,5,20230504,183500,76791.0000000,76913.0000000,76791.0000000,76874.0000000,5222
SPFB.Si,5,20230504,184000,76880.0000000,76889.0000000,76813.0000000,76849.0000000,3621
SPFB.Si,5,20230504,184500,76849.0000000,76850.0000000,76785.0000000,76798.0000000,3067
SPFB.Si,5,20230504,185000,76793.0000000,76810.0000000,76773.0000000,76773.0000000,2606
SPFB.Si,5,20230504,191000,76773.0000000,76854.0000000,76750.0000000,76806.0000000,2795
SPFB.Si,5,20230504,191500,76810.0000000,76845.0000000,76805.0000000,76814.0000000,1909
SPFB.Si,5,20230504,192000,76814.0000000,76842.0000000,76805.0000000,76842.0000000,785
SPFB.Si,5,20230504,192500,76841.0000000,76855.0000000,76826.0000000,76849.0000000,1487
SPFB.Si,5,20230504,193000,76844.0000000,76850.0000000,76830.0000000,76830.0000000,480
SPFB.Si,5,20230504,193500,76832.0000000,76834.0000000,76825.0000000,76827.0000000,509
SPFB.Si,5,20230504,194000,76826.0000000,76830.0000000,76825.0000000,76827.0000000,366
SPFB.Si,5,20230504,194500,76827.0000000,76847.0000000,76825.0000000,76841.0000000,558
SPFB.Si,5,20230504,195000,76841.0000000,76843.0000000,76802.0000000,76811.0000000,726
SPFB.Si,5,20230504,195500,76811.0000000,76822.0000000,76756.0000000,76759.0000000,1186
SPFB.Si,5,20230504,200000,76767.0000000,76789.0000000,76751.0000000,76776.0000000,928
SPFB.Si,5,20230504,200500,76776.0000000,76776.0000000,76735.0000000,76736.0000000,772
SPFB.Si,5,20230504,201000,76739.0000000,76740.0000000,76706.0000000,76731.0000000,1000
SPFB.Si,5,20230504,201500,76731.0000000,76731.0000000,76652.0000000,76660.0000000,1583
SPFB.Si,5,20230504,202000,76660.0000000,76727.0000000,76649.0000000,76727.0000000,1116
SPFB.Si,5,20230504,202500,76727.0000000,76750.0000000,76725.0000000,76745.0000000,401
SPFB.Si,5,20230504,203000,76744.0000000,76750.0000000,76701.0000000,76715.0000000,457
SPFB.Si,5,20230504,203500,76715.0000000,76775.0000000,76711.0000000,76761.0000000,418
SPFB.Si,5,20230504,204000,76767.0000000,76795.0000000,76761.0000000,76794.0000000,422
SPFB.Si,5,20230504,204500,76795.0000000,76830.0000000,76780.0000000,76822.0000000,689
SPFB.Si,5,20230504,205000,76822.0000000,76829.0000000,76801.0000000,76801.0000000,455
SPFB.Si,5,20230504,205500,76809.0000000,76811.0000000,76781.0000000,76804.0000000,293
SPFB.Si,5,20230504,210000,76804.0000000,76811.0000000,76790.0000000,76809.0000000,251
SPFB.Si,5,20230504,210500,76809.0000000,76831.0000000,76809.0000000,76820.0000000,584
SPFB.Si,5,20230504,211000,76820.0000000,76949.0000000,76812.0000000,76935.0000000,6972
SPFB.Si,5,20230504,211500,76942.0000000,76970.0000000,76898.0000000,76969.0000000,5397
SPFB.Si,5,20230504,212000,76969.0000000,77094.0000000,76950.0000000,77084.0000000,8082
SPFB.Si,5,20230504,212500,77083.0000000,77150.0000000,77044.0000000,77136.0000000,6860
SPFB.Si,5,20230504,213000,77136.0000000,77235.0000000,77070.0000000,77082.0000000,6072
SPFB.Si,5,20230504,213500,77082.0000000,77092.0000000,77051.0000000,77052.0000000,1429
SPFB.Si,5,20230504,214000,77051.0000000,77067.0000000,77050.0000000,77052.0000000,773
SPFB.Si,5,20230504,214500,77052.0000000,77177.0000000,77050.0000000,77055.0000000,2252
SPFB.Si,5,20230504,215000,77055.0000000,77062.0000000,77052.0000000,77054.0000000,478
SPFB.Si,5,20230504,215500,77055.0000000,77055.0000000,77014.0000000,77014.0000000,1148
SPFB.Si,5,20230504,220000,77015.0000000,77096.0000000,76984.0000000,76984.0000000,1935
SPFB.Si,5,20230504,220500,76984.0000000,77090.0000000,76979.0000000,77041.0000000,827
SPFB.Si,5,20230504,221000,77044.0000000,77125.0000000,77043.0000000,77098.0000000,1033
SPFB.Si,5,20230504,221500,77097.0000000,77105.0000000,77034.0000000,77067.0000000,544
SPFB.Si,5,20230504,222000,77058.0000000,77071.0000000,77034.0000000,77066.0000000,360
SPFB.Si,5,20230504,222500,77067.0000000,77070.0000000,77054.0000000,77068.0000000,238
SPFB.Si,5,20230504,223000,77068.0000000,77071.0000000,77041.0000000,77045.0000000,482
SPFB.Si,5,20230504,223500,77045.0000000,77058.0000000,77029.0000000,77058.0000000,198
SPFB.Si,5,20230504,224000,77058.0000000,77062.0000000,77046.0000000,77052.0000000,115
SPFB.Si,5,20230504,224500,77056.0000000,77060.0000000,77044.0000000,77058.0000000,177
SPFB.Si,5,20230504,225000,77054.0000000,77054.0000000,77034.0000000,77035.0000000,197
SPFB.Si,5,20230504,225500,77036.0000000,77037.0000000,76988.0000000,76990.0000000,744
SPFB.Si,5,20230504,230000,76991.0000000,77022.0000000,76991.0000000,77022.0000000,263
SPFB.Si,5,20230504,230500,77022.0000000,77100.0000000,77009.0000000,77097.0000000,2487
SPFB.Si,5,20230504,231000,77095.0000000,77100.0000000,77058.0000000,77087.0000000,894
SPFB.Si,5,20230504,231500,77088.0000000,77089.0000000,77042.0000000,77056.0000000,419
SPFB.Si,5,20230504,232000,77060.0000000,77093.0000000,77040.0000000,77080.0000000,837
SPFB.Si,5,20230504,232500,77078.0000000,77100.0000000,77073.0000000,77100.0000000,1272
SPFB.Si,5,20230504,233000,77089.0000000,77100.0000000,77076.0000000,77083.0000000,3234
SPFB.Si,5,20230504,233500,77083.0000000,77094.0000000,77063.0000000,77067.0000000,353
SPFB.Si,5,20230504,234000,77082.0000000,77099.0000000,77072.0000000,77079.0000000,142
SPFB.Si,5,20230504,234500,77080.0000000,77125.0000000,77077.0000000,77119.0000000,395
SPFB.Si,5,20230504,235000,77116.0000000,77136.0000000,77085.0000000,77136.0000000,739
SPFB.Si,5,20230505,090500,77086.0000000,77086.0000000,76785.0000000,76811.0000000,10867
SPFB.Si,5,20230505,091000,76810.0000000,76835.0000000,76624.0000000,76638.0000000,11783
SPFB.Si,5,20230505,091500,76639.0000000,76674.0000000,76581.0000000,76669.0000000,8094
SPFB.Si,5,20230505,092000,76673.0000000,76707.0000000,76630.0000000,76665.0000000,4327
